"filename", "language", "Markdown", "JSON", "CSS", "JavaScript", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\Suscription\Suscription.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\Suscription\Suscription.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\AddSales\AddSales.css", "CSS", 0, 0, 104, 0, 0, 0, 0, 0, 23, 127
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\AddSales\AddSales.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 213, 0, 52, 265
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\AddSuscription\AddSuscription.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\AddSuscription\AddSuscription.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 4, 19, 125
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\BusinessDetails\BusinessDetails.css", "CSS", 0, 0, 152, 0, 0, 0, 0, 0, 35, 187
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\BusinessDetails\BusinessDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 34, 147
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\BusinessOverview\BusinessOverview.css", "CSS", 0, 0, 372, 0, 0, 0, 0, 0, 59, 431
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\BusinessOverview\BusinessOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 195, 0, 34, 229
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Configuration\Configuration.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Configuration\Configuration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Expired\Expired.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Expired\Expired.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\GeneralView\GeneralView.css", "CSS", 0, 0, 186, 0, 0, 0, 0, 0, 37, 223
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\GeneralView\GeneralView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 26, 169
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Help\Help.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Help\Help.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Login\Login.css", "CSS", 0, 0, 105, 0, 0, 0, 0, 0, 25, 130
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 31, 113
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Main\Main.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Main\Main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 11, 66
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\NewBusiness\NewBusiness.css", "CSS", 0, 0, 95, 0, 0, 0, 0, 0, 16, 111
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\NewBusiness\NewBusiness.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 17, 94
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\NewUser\NewUser.css", "CSS", 0, 0, 175, 0, 0, 0, 0, 0, 39, 214
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\NewUser\NewUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 17, 119
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\NotFound\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 6, 16
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\SalesHistory\SalesHistory.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\SalesHistory\SalesHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 7, 67
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\ServerOffline\ServerOffline.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\ServerOffline\ServerOffline.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 43, 29650, 2051, -154, 1, 20, 1596, 35, 775, 34017
